DEPENDENCIA;LOCALIDAD;UPZ;DIRECCION;TELEFONO;COMPANIA;COMANDANTE;SUBCOMANDANTE;JEFE DE LA ESTACION;X;Y;LONGITUD;LATITUD
B- 1 ESTACION CHAPINERO;CHAPINERO;CHAPINERO;CL 62 9A 19;3822500 EXT 30100, 3485420;1;PEDRO ANTONIO HIGUERA CORREDOR;EDUVIN TOVAR MORA;TTE MYRIAM MALPICA MALPICA;101664,8957;105726,8096;-74,06253765;4,647991801
B- 2 ESTACION CENTRAL;LOS MARTIRES;LA SABANA;CL 11 20A 10;3822500 EXT 30200, 3602845;3;ARNULFO TRIANA LEON;LUIS ALIRIO CACERES;TTE OMAR CASTAÑEDA RODRIGUEZ;98856,2995;101170,019;-74,08784365;4,606803325
B- 3 ESTACION SUR;ANTONIO NARIÑO;RESTREPO;AK 27 19A 20 SUR;3822500 EXT 30300, 2727721;4;GABRIEL RENE ALVAREZ MANOSALVA;FIDEL HERMOGENES MEDINA MEDINA;TTE ASDRUBAL LOZANO BALLESTEROS;96602,2796;99257,1408;-74,10814984;4,58951326
B- 4 ESTACION PUENTE ARANDA;FONTIBON;GRANJAS DE TECHO;CL 20 68A 06;3822500 EXT 30400, 2600106;3;ARNULFO TRIANA LEON;LUIS ALIRIO CACERES;TTE CIPRIAN BOHORQUEZ FRANCICA;96079,318;105464,2345;-74,11285816;4,645622464
B- 5 ESTACION KENNEDY;KENNEDY;KENNEDY CENTRAL;KR 79 41D 20 SUR;3822500 EXT 30500, 2648343;3;ARNULFO TRIANA LEON;LUIS ALIRIO CACERES;TTE JOSE GONZALO DUEÑAS PERALTA;90827,56613;102656,571;-74,16017051;4,620243299
B- 6 ESTACION FONTIBON;FONTIBON;MODELIA;CL 18 99 38;3822500 EXT 30600, 2676810;2;TITO FORERO ARENAS;OMAIRA PIÑEROS MENDOZA;SGR GUILLERMO LLANOS AVENDAÑO;92735,99538;108117,3928;-74,14297791;4,669606438
B- 7 ESTACION FERIAS;ENGATIVA;LAS FERIAS;KR 69J 72 61;3822500 EXT 30700, 2508878;2;TITO FORERO ARENAS;OMAIRA PIÑEROS MENDOZA;TTE JORGE ENRIQUE NOY HILARION;98625,9788;109638,2358;-74,08991237;4,683351776
B- 8 ESTACION BOSA;BOSA;BOSA CENTRAL;CL 63 SUR 80K 15;3822500 EXT 30800, 7767991;5;GERARDO ALFONSO MARTINEZ;;TTE JOSE GONZALO CUELLAR TELLO;87954,8185;101626,3698;-74,18604955;4,610929837
B- 9 ESTACION BELLAVISTA;SAN CRISTOBAL;20 DE JULIO;CL 37 SUR 9A 20;3822500 EXT 30900, 2076167;4;GABRIEL RENE ALVAREZ MANOSALVA;FIDEL HERMOGENES MEDINA MEDINA;TTE CARLOS AGUSTO HENAO GUTIERREZ;98957,567;95077,6158;-74,08693594;4,551730989
B-10 ESTACION MARICHUELA;USME;GRAN YOMASA;KR 1A 76A BIS 09 SUR MJ;3822500 EXT 31000, 2002342;4;GABRIEL RENE ALVAREZ MANOSALVA;FIDEL HERMOGENES MEDINA MEDINA;TTE ADAN CRISTANCHO DIAZ;95621,1676;90683,0798;-74,11699111;4,51200839
B-11 ESTACION CANDELARIA;CIUDAD BOLIVAR;SAN FRANCISCO;CL 62 SUR 22B 85;3822500 EXT 31100, 7151464;5;GERARDO ALFONSO MARTINEZ;;TTE GUILLERMO ARTURO DURAN BUITRAGO;92462,7615;96842,5519;-74,14543971;4,567687613
B-12 ESTACION SUBA;SUBA;SUBA;KR 92 146C 49;3822500 EXT 31200, 6804141;2;TITO FORERO ARENAS;OMAIRA PIÑEROS MENDOZA;TTE NELSON HERNANDO BERMUDEZ HORMAZA;99145,4725;116037,5782;-74,08522695;4,741197998
B-13 ESTACION CAOBOS SALAZAR;USAQUEN;LOS CEDROS;AK 15 145 50;3822500 EXT 31300, 6143290;1;PEDRO ANTONIO HIGUERA CORREDOR;EDUVIN TOVAR MORA;TTE GERARDO ALONSO LLANOS AVENDAÑO;104086,3304;114527,3356;-74,04071102;4,727540852
B-14 ESTACION BICENTENARIO DE LA INDEPENDENCIA;SUBA;NIZA;CL 128B BIS 59B 40;3822500 EXT 31400, 6691685;1;PEDRO ANTONIO HIGUERA CORREDOR;EDUVIN TOVAR MORA;TTE GLADYS JANEHT VELASQUEZ HERNADEZ;102306,2574;117007,4068;-74,05674658;4,749961597
B-15 ESTACION GARCES NAVAS;ENGATIVA;GARCES NAVAS;KR 110 77 24 MJ 1;3822500 EXT 31500, 2272658;2;TITO FORERO ARENAS;OMAIRA PIÑEROS MENDOZA;TTE JOSELIN SANCHEZ PINILLA;95203,2486;113041,8507;-74,12074812;4,714120472
B-16 ESTACION VENECIA;TUNJUELITO;VENECIA;DG 49A SUR 49 61;3822500 EXT 31600, 2048209;5;GERARDO ALFONSO MARTINEZ;;TTE MARIA DEL ROSARIO LUNA DUARTE;93525,0295;99453,4896;-74,13587046;4,59128911
B-17 ESTACION CENTRO HISTORICO;CANDELARIA;LA CANDELARIA;CL 9 3 12 ESTE;3822500 EXT 31700, 2861305;3;ARNULFO TRIANA LEON;LUIS ALIRIO CACERES;TTE EDGAR HERNANDEZ CEPEDA;100843,3486;99559,218;-74,06994494;4,592240803
